engagement_id,individual_id,content_id,content_title,content_type,channel,engagement_ts,engagement_depth_pct,completed_flag
ENG300290,IND100043,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-03-25,63,N
ENG300291,IND100127,CNT-01,T1-2 First Drive Walkthrough,Video,Email,2026-04-05,1,N
ENG300292,IND100084,CNT-04,Trailering Basics,Video,Web,2026-03-09,26,N
ENG300293,IND100024,CNT-05,Scheduling Your First Service,Article,Email,2026-04-27,100,Y
ENG300294,IND100010,CNT-05,Scheduling Your First Service,Article,Email,2026-01-27,84,Y
ENG300295,IND100054,CNT-02,Connecting Your Hotspot,Article,Mobile App,2026-01-18,55,N
ENG300296,IND100145,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-05-31,44,N
ENG300297,IND100069,CNT-04,Trailering Basics,Video,Web,2026-05-10,100,Y
ENG300298,IND100019,CNT-01,T1-2 First Drive Walkthrough,Video,Email,2026-02-14,1,N
ENG300299,IND100071,CNT-06,Infotainment Quick Tips,Interactive,Web,2026-01-12,88,Y
