case_id,individual_id,vin,case_type,call_driver,channel,case_open_ts,case_close_ts,days_to_close,closed_within_24h,first_contact_resolution,csat_score,region,case_month
CASE900157,IND100043,1GC381129977243,OnBoarding,Enroll Vehicle,Phone,2026-01-27 12:00:00,2026-01-27 19:27:58.233679,0.31,Y,Y,3,Midwest,2026-01-01
CASE900158,IND100016,1GC599126308313,Infotainment,On Screen Messages,Chat,2026-01-21 10:00:00,2026-01-22 22:16:43.893426,1.51,N,Y,4,Midwest,2026-01-01
CASE900159,IND100003,1GC727631226152,OnBoarding,Enroll Vehicle,Chat,2026-01-24 04:00:00,2026-01-27 06:29:20.148452,3.1,N,Y,4,Southwest,2026-01-01
CASE900160,IND100106,1GC504425351928,WiFi,No / Slow Internet,Mobile App,2026-01-04 05:00:00,2026-01-05 10:11:58.499847,1.22,N,Y,5,Southwest,2026-01-01
CASE900161,IND100054,1GC734648840762,OnBoarding,Other,Chat,2026-01-26 18:00:00,2026-01-27 14:59:34.671804,0.87,Y,N,3,Southwest,2026-01-01
CASE900162,IND100028,1GC902509539628,WiFi,Hotspot: SSID and Password,Chat,2026-01-15 16:00:00,2026-01-16 03:11:10.426997,0.47,Y,Y,2,Southeast,2026-01-01
CASE900163,IND100138,1GC804461704524,OnBoarding,Enroll Vehicle,Phone,2026-01-12 20:00:00,2026-01-12 23:19:35.281821,0.14,Y,Y,5,Midwest,2026-01-01
CASE900164,IND100025,1GC275174837066,OnBoarding,Other,Phone,2026-01-10 12:00:00,2026-01-16 05:08:09.907448,5.71,N,Y,5,Southwest,2026-01-01
CASE900165,IND100049,1GC225777235248,WiFi,Hotspot: Data Not Shared / Disabled,Mobile App,2026-02-13 16:00:00,2026-02-13 22:38:57.449964,0.28,Y,N,5,Southwest,2026-02-01
CASE900166,IND100116,1GC782667576850,OnBoarding,Other,Phone,2026-02-27 23:00:00,2026-02-28 12:45:52.372393,0.57,Y,Y,4,Southeast,2026-02-01
CASE900167,IND100043,1GC381129977243,WiFi,No / Slow Internet,Dealer,2026-02-18 13:00:00,2026-02-20 03:38:24.772023,1.61,N,Y,5,Midwest,2026-02-01
CASE900168,IND100001,1GC906544694654,Infotainment,On Screen Messages,Phone,2026-02-06 07:00:00,2026-02-06 09:10:29.607562,0.09,Y,Y,4,Northeast,2026-02-01
CASE900169,IND100147,1GC568605162223,Infotainment,DIC (Driver Information Center),Chat,2026-02-21 23:00:00,2026-02-22 13:52:26.030640,0.62,Y,N,4,West,2026-02-01
CASE900170,IND100003,1GC598632529184,Infotainment,App Not Working,Phone,2026-02-07 20:00:00,2026-02-08 18:11:46.425392,0.92,Y,N,3,Southwest,2026-02-01
CASE900171,IND100089,1GC550940297592,WiFi,Hotspot: SSID and Password,IVR,2026-02-25 07:00:00,2026-02-25 10:48:18.817447,0.16,Y,N,4,West,2026-02-01
CASE900172,IND100134,1GC631823942332,OnBoarding,Hardware Replacement,IVR,2026-02-09 22:00:00,2026-02-10 20:44:10.660430,0.95,Y,N,5,Southeast,2026-02-01
CASE900173,IND100004,1GC197718167021,OnBoarding,Enroll Vehicle,Phone,2026-02-20 11:00:00,2026-02-21 06:52:24.070970,0.83,Y,Y,3,Midwest,2026-02-01
CASE900174,IND100050,1GC279917382227,OnBoarding,Other,Phone,2026-02-06 15:00:00,2026-02-07 11:03:22.145430,0.84,Y,Y,5,Southeast,2026-02-01
CASE900175,IND100018,1GC385425003540,WiFi,No / Slow Internet,Chat,2026-02-13 04:00:00,2026-02-13 16:49:06.856863,0.53,Y,Y,4,West,2026-02-01
CASE900176,IND100022,1GC330368581510,OnBoarding,Enroll Vehicle,Phone,2026-02-02 20:00:00,2026-02-04 19:08:24.358989,1.96,N,Y,4,Southwest,2026-02-01
CASE900177,IND100061,1GC523986585528,OnBoarding,Other,Dealer,2026-02-12 00:00:00,2026-02-12 06:40:22.665423,0.28,Y,Y,4,West,2026-02-01
CASE900178,IND100036,1GC216929354801,OnBoarding,Hardware Replacement,Phone,2026-02-23 13:00:00,2026-02-23 16:19:22.165304,0.14,Y,N,4,Northeast,2026-02-01
CASE900179,IND100144,1GC526140460950,WiFi,Hotspot: SSID and Password,Dealer,2026-02-27 13:00:00,2026-02-27 16:07:20.049957,0.13,Y,Y,5,West,2026-02-01
CASE900180,IND100018,1GC844868054792,OnBoarding,Other,Phone,2026-02-12 15:00:00,2026-02-13 08:52:08.882479,0.74,Y,Y,3,West,2026-02-01
CASE900181,IND100145,1GC340278096782,WiFi,No / Slow Internet,Phone,2026-02-24 06:00:00,2026-02-25 09:35:39.408823,1.15,N,Y,5,Midwest,2026-02-01
CASE900182,IND100129,1GC628880114959,Infotainment,DIC (Driver Information Center),IVR,2026-02-26 22:00:00,2026-02-27 21:18:14.873199,0.97,Y,Y,4,Northeast,2026-02-01
CASE900183,IND100008,1GC215302269407,OnBoarding,BBWC,Phone,2026-02-12 20:00:00,2026-02-14 14:19:04.198728,1.76,N,N,5,Southeast,2026-02-01
CASE900184,IND100068,1GC127736051111,OnBoarding,BBWC,Mobile App,2026-02-19 10:00:00,2026-02-20 17:48:59.292846,1.33,N,N,5,West,2026-02-01
CASE900185,IND100072,1GC868062765940,WiFi,No / Slow Internet,Phone,2026-02-24 08:00:00,2026-02-24 15:35:36.089886,0.32,Y,Y,4,Southeast,2026-02-01
CASE900186,IND100084,1GC120440865820,OnBoarding,Other,Chat,2026-02-22 11:00:00,2026-02-23 00:24:07.326309,0.56,Y,Y,5,Northeast,2026-02-01
CASE900187,IND100044,1GC849033821254,OnBoarding,BBWC,Chat,2026-02-02 12:00:00,2026-02-02 23:35:01.451571,0.48,Y,Y,3,Midwest,2026-02-01
CASE900188,IND100138,1GC804461704524,WiFi,Hotspot: SSID and Password,Phone,2026-02-10 17:00:00,2026-02-11 03:08:57.053012,0.42,Y,Y,4,Midwest,2026-02-01
CASE900189,IND100144,1GC526140460950,WiFi,Hotspot: Data Not Shared / Disabled,Mobile App,2026-02-18 05:00:00,2026-02-20 09:23:36.874515,2.18,N,Y,4,West,2026-02-01
CASE900190,IND100105,1GC745201170242,OnBoarding,Enroll Vehicle,Phone,2026-02-06 00:00:00,2026-02-08 04:45:32.813005,2.2,N,Y,3,Southeast,2026-02-01
CASE900191,IND100040,1GC493436726984,OnBoarding,Enroll Vehicle,Chat,2026-02-11 20:00:00,2026-02-11 23:15:40.679309,0.14,Y,Y,1,Southwest,2026-02-01
CASE900192,IND100038,1GC304218414145,Infotainment,App Not Working,IVR,2026-02-15 11:00:00,2026-02-16 11:25:14.345078,1.02,N,Y,4,Southwest,2026-02-01
CASE900193,IND100074,1GC152472467520,Infotainment,App Not Working,Mobile App,2026-02-23 12:00:00,2026-02-24 01:52:43.895964,0.58,Y,Y,5,Southwest,2026-02-01
CASE900194,IND100007,1GC807457874748,OnBoarding,BBWC,Phone,2026-02-18 06:00:00,2026-02-18 06:28:48.000000,0.02,Y,Y,3,Northeast,2026-02-01
CASE900195,IND100071,1GC467675779351,WiFi,No / Slow Internet,IVR,2026-02-21 06:00:00,2026-02-21 23:33:46.776581,0.73,Y,N,5,Southeast,2026-02-01
CASE900196,IND100021,1GC563551416308,Infotainment,App Not Working,Mobile App,2026-02-24 03:00:00,2026-02-25 05:26:29.511534,1.1,N,Y,4,Southeast,2026-02-01
CASE900197,IND100057,1GC611867076357,WiFi,No / Slow Internet,Phone,2026-02-26 22:00:00,2026-02-26 22:42:54.734808,0.03,Y,Y,5,Northeast,2026-02-01
CASE900198,IND100102,1GC339282965313,OnBoarding,BBWC,Dealer,2026-02-12 03:00:00,2026-02-12 03:49:00.227840,0.03,Y,N,4,West,2026-02-01
CASE900199,IND100037,1GC528134433602,OnBoarding,BBWC,Mobile App,2026-02-13 10:00:00,2026-02-17 22:46:21.562598,4.53,N,Y,4,Southeast,2026-02-01
CASE900200,IND100005,1GC978060116472,OnBoarding,BBWC,Chat,2026-02-01 05:00:00,2026-02-01 09:29:34.798731,0.19,Y,Y,4,West,2026-02-01
CASE900201,IND100042,1GC730238591801,OnBoarding,Enroll Vehicle,Phone,2026-02-11 16:00:00,2026-02-12 08:27:23.030687,0.69,Y,Y,5,Northeast,2026-02-01
CASE900202,IND100033,1GC433413735431,Infotainment,DIC (Driver Information Center),Phone,2026-02-17 02:00:00,2026-02-18 11:44:25.991643,1.41,N,N,4,Midwest,2026-02-01
CASE900203,IND100053,1GC698365770932,WiFi,Other,Chat,2026-02-23 02:00:00,2026-02-24 03:56:15.341706,1.08,N,Y,5,Northeast,2026-02-01
CASE900204,IND100001,1GC494990595776,OnBoarding,Hardware Replacement,Mobile App,2026-02-09 14:00:00,2026-02-10 00:23:04.018179,0.43,Y,Y,2,Northeast,2026-02-01
CASE900205,IND100024,1GC800545147365,OnBoarding,Other,Chat,2026-02-09 03:00:00,2026-02-09 05:35:44.055188,0.11,Y,Y,4,Midwest,2026-02-01
CASE900206,IND100145,1GC340278096782,WiFi,Hotspot: Data Not Shared / Disabled,Mobile App,2026-02-14 02:00:00,2026-02-14 15:07:44.411105,0.55,Y,Y,3,Midwest,2026-02-01
CASE900207,IND100009,1GC791782742725,WiFi,No / Slow Internet,Phone,2026-02-06 10:00:00,2026-02-07 14:46:14.144413,1.2,N,Y,3,West,2026-02-01
CASE900208,IND100052,1GC808231939751,OnBoarding,Enroll Vehicle,Phone,2026-02-15 19:00:00,2026-02-17 04:24:01.813112,1.39,N,Y,5,Southeast,2026-02-01
CASE900209,IND100039,1GC702832595213,OnBoarding,Other,Phone,2026-02-10 08:00:00,2026-02-11 09:43:41.075860,1.07,N,Y,4,West,2026-02-01
CASE900210,IND100058,1GC225817298314,Infotainment,App Not Working,Mobile App,2026-02-07 23:00:00,2026-02-08 16:10:43.494370,0.72,Y,Y,3,Midwest,2026-02-01
CASE900211,IND100050,1GC279917382227,OnBoarding,BBWC,Phone,2026-02-17 21:00:00,2026-02-18 20:19:21.138663,0.97,Y,Y,4,Southeast,2026-02-01
CASE900212,IND100028,1GC902509539628,OnBoarding,Other,Phone,2026-02-16 08:00:00,2026-02-16 09:18:17.139760,0.05,Y,Y,5,Southeast,2026-02-01
CASE900213,IND100008,1GC754295152857,OnBoarding,Other,Mobile App,2026-02-25 22:00:00,2026-02-26 08:15:22.943807,0.43,Y,Y,4,Southeast,2026-02-01
CASE900214,IND100028,1GC902509539628,OnBoarding,Other,Chat,2026-02-11 15:00:00,2026-02-11 22:31:10.247391,0.31,Y,Y,3,Southeast,2026-02-01
CASE900215,IND100028,1GC238860542860,OnBoarding,Other,Mobile App,2026-02-09 17:00:00,2026-02-10 02:35:12.139756,0.4,Y,N,4,Southeast,2026-02-01
CASE900216,IND100116,1GC782667576850,OnBoarding,Other,Phone,2026-02-05 18:00:00,2026-02-07 23:31:17.896285,2.23,N,N,4,Southeast,2026-02-01
CASE900217,IND100065,1GC598221460591,OnBoarding,Other,Chat,2026-02-17 23:00:00,2026-02-18 17:27:59.759107,0.77,Y,N,4,Southeast,2026-02-01
CASE900218,IND100104,1GC800875813568,OnBoarding,Other,Phone,2026-02-07 06:00:00,2026-02-07 19:04:40.078859,0.54,Y,Y,3,Southeast,2026-02-01
CASE900219,IND100133,1GC412182824081,WiFi,No / Slow Internet,Phone,2026-02-03 08:00:00,2026-02-03 14:24:50.296477,0.27,Y,Y,3,West,2026-02-01
CASE900220,IND100061,1GC523986585528,WiFi,No / Slow Internet,Mobile App,2026-02-01 00:00:00,2026-02-01 02:51:22.796937,0.12,Y,Y,4,West,2026-02-01
CASE900221,IND100066,1GC603286444670,WiFi,No / Slow Internet,Chat,2026-02-19 20:00:00,2026-02-20 07:32:28.861126,0.48,Y,Y,3,Southeast,2026-02-01
CASE900222,IND100019,1GC668497959209,Infotainment,App Not Working,Phone,2026-02-25 18:00:00,2026-02-26 13:36:09.153356,0.82,Y,Y,4,Northeast,2026-02-01
CASE900223,IND100040,1GC493436726984,WiFi,No / Slow Internet,Dealer,2026-02-06 22:00:00,2026-02-07 05:46:42.131151,0.32,Y,Y,3,Southwest,2026-02-01
CASE900224,IND100057,1GC611867076357,OnBoarding,Enroll Vehicle,Chat,2026-02-07 22:00:00,2026-02-08 08:45:16.011132,0.45,Y,Y,4,Northeast,2026-02-01
CASE900225,IND100030,1GC770285940316,OnBoarding,Enroll Vehicle,Mobile App,2026-02-18 03:00:00,2026-02-18 04:15:32.299579,0.05,Y,Y,5,Midwest,2026-02-01
CASE900226,IND100036,1GC216929354801,OnBoarding,Other,Phone,2026-02-07 14:00:00,2026-02-07 17:57:24.642900,0.16,Y,Y,4,Northeast,2026-02-01
CASE900227,IND100095,1GC667254333806,OnBoarding,Other,Dealer,2026-02-14 14:00:00,2026-02-14 23:04:35.566104,0.38,Y,N,4,Midwest,2026-02-01
CASE900228,IND100058,1GC225817298314,OnBoarding,Other,Phone,2026-02-17 18:00:00,2026-02-17 20:15:28.468670,0.09,Y,Y,3,Midwest,2026-02-01
CASE900229,IND100078,1GC601328937106,WiFi,No / Slow Internet,Dealer,2026-02-22 12:00:00,2026-02-22 21:17:24.526836,0.39,Y,Y,4,West,2026-02-01
CASE900230,IND100023,1GC903809009189,OnBoarding,Enroll Vehicle,Phone,2026-02-07 05:00:00,2026-02-08 02:01:38.156155,0.88,Y,N,5,Midwest,2026-02-01
CASE900231,IND100027,1GC139423389208,Infotainment,App Not Working,Chat,2026-02-27 03:00:00,2026-02-28 19:58:34.498294,1.71,N,Y,5,West,2026-02-01
CASE900232,IND100098,1GC206205311908,Infotainment,On Screen Messages,Phone,2026-02-08 01:00:00,2026-02-09 09:26:30.566407,1.35,N,Y,4,Southwest,2026-02-01
CASE900233,IND100098,1GC206205311908,WiFi,No / Slow Internet,Mobile App,2026-02-12 03:00:00,2026-02-14 04:54:08.106676,2.08,N,Y,4,Southwest,2026-02-01
CASE900234,IND100067,1GC373555088256,OnBoarding,BBWC,IVR,2026-02-08 09:00:00,2026-02-08 16:10:04.616441,0.3,Y,Y,5,Midwest,2026-02-01
CASE900235,IND100061,1GC523986585528,WiFi,No / Slow Internet,Chat,2026-02-03 08:00:00,2026-02-03 23:22:47.912094,0.64,Y,Y,4,West,2026-02-01
CASE900236,IND100014,1GC499072778944,Infotainment,Other,Phone,2026-02-12 12:00:00,2026-02-12 18:23:24.282456,0.27,Y,Y,4,Southeast,2026-02-01
CASE900237,IND100141,1GC541636294918,WiFi,Hotspot: SSID and Password,Dealer,2026-02-13 08:00:00,2026-02-14 17:35:26.730790,1.4,N,N,3,Northeast,2026-02-01
CASE900238,IND100121,1GC684861941398,WiFi,No / Slow Internet,Phone,2026-02-01 21:00:00,2026-02-02 07:24:02.905500,0.43,Y,Y,4,Midwest,2026-02-01
CASE900239,IND100110,1GC510198660849,Infotainment,DIC (Driver Information Center),IVR,2026-02-10 04:00:00,2026-02-10 14:42:34.614844,0.45,Y,Y,5,West,2026-02-01
CASE900240,IND100146,1GC398412097607,OnBoarding,Other,Phone,2026-02-21 22:00:00,2026-02-22 09:05:09.315059,0.46,Y,Y,3,Southeast,2026-02-01
CASE900241,IND100009,1GC505347344105,OnBoarding,Enroll Vehicle,Dealer,2026-02-16 01:00:00,2026-02-17 02:19:21.945763,1.06,N,N,4,West,2026-02-01
CASE900242,IND100118,1GC488883735797,WiFi,No / Slow Internet,Phone,2026-02-06 07:00:00,2026-02-07 04:35:02.128742,0.9,Y,Y,3,West,2026-02-01
CASE900243,IND100085,1GC181043074697,Infotainment,App Not Working,IVR,2026-02-20 14:00:00,2026-02-21 04:01:32.770496,0.58,Y,Y,3,Northeast,2026-02-01
CASE900244,IND100139,1GC174456999930,Infotainment,DIC (Driver Information Center),Phone,2026-02-14 14:00:00,2026-02-15 12:19:42.835059,0.93,Y,Y,5,West,2026-02-01
CASE900245,IND100010,1GC196966851360,WiFi,Hotspot: SSID and Password,Chat,2026-02-10 00:00:00,2026-02-10 02:54:52.864882,0.12,Y,Y,2,Southwest,2026-02-01
CASE900246,IND100090,1GC237080892441,Infotainment,DIC (Driver Information Center),Phone,2026-02-04 20:00:00,2026-02-05 02:46:29.702050,0.28,Y,N,5,Southwest,2026-02-01
CASE900247,IND100074,1GC152472467520,OnBoarding,Hardware Replacement,Phone,2026-02-23 15:00:00,2026-02-25 00:29:56.138123,1.4,N,Y,3,Southwest,2026-02-01
CASE900248,IND100003,1GC727631226152,WiFi,No / Slow Internet,Phone,2026-02-14 23:00:00,2026-02-16 08:31:02.261941,1.4,N,Y,5,Southwest,2026-02-01
CASE900249,IND100095,1GC667254333806,Infotainment,Other,Chat,2026-02-09 00:00:00,2026-02-09 08:08:32.525060,0.34,Y,Y,3,Midwest,2026-02-01
CASE900250,IND100029,1GC714744057917,WiFi,No / Slow Internet,Phone,2026-02-19 02:00:00,2026-02-20 21:09:49.683545,1.8,N,N,5,West,2026-02-01
CASE900251,IND100008,1GC754295152857,WiFi,No / Slow Internet,Phone,2026-02-19 04:00:00,2026-02-19 13:08:38.296901,0.38,Y,Y,4,Southeast,2026-02-01
CASE900252,IND100027,1GC139423389208,Infotainment,App Not Working,IVR,2026-02-02 17:00:00,2026-02-02 23:48:56.722491,0.28,Y,N,5,West,2026-02-01
CASE900253,IND100013,1GC840485451942,OnBoarding,Enroll Vehicle,Phone,2026-02-07 09:00:00,2026-02-07 09:56:04.504325,0.04,Y,Y,3,Northeast,2026-02-01
CASE900254,IND100078,1GC601328937106,WiFi,No / Slow Internet,Phone,2026-02-03 10:00:00,2026-02-04 17:05:47.185728,1.3,N,Y,5,West,2026-02-01
CASE900255,IND100086,1GC750123415536,OnBoarding,Enroll Vehicle,Mobile App,2026-02-01 21:00:00,2026-02-02 14:59:08.740056,0.75,Y,Y,5,Midwest,2026-02-01
CASE900256,IND100126,1GC396875091099,WiFi,No / Slow Internet,Phone,2026-02-12 15:00:00,2026-02-13 05:47:49.171682,0.62,Y,Y,3,Midwest,2026-02-01
CASE900257,IND100101,1GC729736420428,OnBoarding,Hardware Replacement,Dealer,2026-02-02 12:00:00,2026-02-02 17:49:53.810339,0.24,Y,Y,4,Southeast,2026-02-01
CASE900258,IND100007,1GC807457874748,WiFi,Hotspot: SSID and Password,Chat,2026-02-22 10:00:00,2026-02-22 19:08:41.334151,0.38,Y,Y,5,Northeast,2026-02-01
CASE900259,IND100135,1GC120523483926,OnBoarding,Other,Phone,2026-02-09 14:00:00,2026-02-09 15:37:01.244819,0.07,Y,Y,5,Southeast,2026-02-01
CASE900260,IND100023,1GC903809009189,Infotainment,Other,Dealer,2026-02-25 03:00:00,2026-02-25 17:26:48.086529,0.6,Y,N,4,Midwest,2026-02-01
CASE900261,IND100088,1GC245144601130,OnBoarding,Enroll Vehicle,Mobile App,2026-02-25 13:00:00,2026-02-26 15:45:08.437054,1.11,N,N,3,Southwest,2026-02-01
CASE900262,IND100032,1GC393242822324,Infotainment,DIC (Driver Information Center),Chat,2026-02-11 22:00:00,2026-02-11 23:04:30.862835,0.04,Y,Y,2,Midwest,2026-02-01
CASE900263,IND100035,1GC270524223175,WiFi,Hotspot: SSID and Password,Mobile App,2026-02-18 10:00:00,2026-02-19 09:19:06.014277,0.97,Y,Y,3,Northeast,2026-02-01
CASE900264,IND100057,1GC611867076357,WiFi,Hotspot: SSID and Password,Mobile App,2026-02-08 20:00:00,2026-02-09 02:58:50.082476,0.29,Y,Y,4,Northeast,2026-02-01
CASE900265,IND100016,1GC599126308313,OnBoarding,Enroll Vehicle,Phone,2026-02-02 23:00:00,2026-02-03 00:29:14.774105,0.06,Y,Y,4,Midwest,2026-02-01
CASE900266,IND100124,1GC137452756475,OnBoarding,Other,Phone,2026-02-10 03:00:00,2026-02-10 04:38:13.996550,0.07,Y,Y,5,Midwest,2026-02-01
CASE900267,IND100071,1GC467675779351,OnBoarding,Hardware Replacement,Phone,2026-02-23 20:00:00,2026-02-23 20:44:21.445657,0.03,Y,Y,3,Southeast,2026-02-01
CASE900268,IND100026,1GC520048903353,OnBoarding,Enroll Vehicle,Phone,2026-02-10 14:00:00,2026-02-11 02:27:55.171203,0.52,Y,Y,4,Northeast,2026-02-01
CASE900269,IND100137,1GC534073093248,OnBoarding,Enroll Vehicle,Phone,2026-02-20 15:00:00,2026-02-22 05:23:27.742316,1.6,N,Y,5,West,2026-02-01
CASE900270,IND100002,1GC226224180098,OnBoarding,Other,Mobile App,2026-02-09 09:00:00,2026-02-13 09:00:23.535135,4.0,N,Y,4,Northeast,2026-02-01
CASE900271,IND100012,1GC679478608071,OnBoarding,Other,IVR,2026-02-15 15:00:00,2026-02-16 07:22:11.541340,0.68,Y,Y,4,Southeast,2026-02-01
CASE900272,IND100051,1GC106626042775,OnBoarding,Hardware Replacement,Dealer,2026-02-23 09:00:00,2026-02-23 12:54:25.686982,0.16,Y,N,5,Northeast,2026-02-01
CASE900273,IND100116,1GC782667576850,OnBoarding,Enroll Vehicle,Phone,2026-02-11 18:00:00,2026-02-13 22:41:52.190591,2.2,N,N,4,Southeast,2026-02-01
CASE900274,IND100012,1GC679478608071,OnBoarding,Other,Phone,2026-02-18 12:00:00,2026-02-19 18:16:26.780050,1.26,N,N,5,Southeast,2026-02-01
CASE900275,IND100122,1GC175999889025,OnBoarding,Enroll Vehicle,Mobile App,2026-02-25 18:00:00,2026-02-26 04:37:54.829800,0.44,Y,Y,5,Southeast,2026-02-01
CASE900276,IND100052,1GC808231939751,OnBoarding,Other,Chat,2026-02-26 05:00:00,2026-02-26 10:39:59.790368,0.24,Y,Y,3,Southeast,2026-02-01
CASE900277,IND100101,1GC729736420428,WiFi,No / Slow Internet,Mobile App,2026-02-09 07:00:00,2026-02-10 03:55:09.914726,0.87,Y,Y,4,Southeast,2026-02-01
CASE900278,IND100021,1GC419073371316,WiFi,No / Slow Internet,Phone,2026-02-15 09:00:00,2026-02-16 03:54:19.901320,0.79,Y,N,4,Southeast,2026-02-01
CASE900279,IND100131,1GC932608106538,OnBoarding,Other,Chat,2026-02-19 07:00:00,2026-02-19 12:58:29.263682,0.25,Y,Y,3,Southeast,2026-02-01
CASE900280,IND100007,1GC807457874748,WiFi,Hotspot: Data Not Shared / Disabled,Phone,2026-02-10 23:00:00,2026-02-12 07:50:23.169171,1.37,N,N,4,Northeast,2026-02-01
CASE900281,IND100069,1GC493045650308,Infotainment,On Screen Messages,Phone,2026-02-09 19:00:00,2026-02-12 15:33:22.546449,2.86,N,Y,4,Southeast,2026-02-01
CASE900282,IND100066,1GC603286444670,OnBoarding,Enroll Vehicle,IVR,2026-02-20 06:00:00,2026-02-23 14:19:11.799047,3.35,N,Y,4,Southeast,2026-02-01
CASE900283,IND100016,1GC599126308313,Infotainment,Other,Phone,2026-02-05 19:00:00,2026-02-07 00:33:34.770697,1.23,N,N,3,Midwest,2026-02-01
CASE900284,IND100119,1GC664577956631,OnBoarding,Other,Phone,2026-02-13 01:00:00,2026-02-13 16:48:04.536859,0.66,Y,N,5,Midwest,2026-02-01
CASE900285,IND100001,1GC494990595776,WiFi,No / Slow Internet,Mobile App,2026-02-01 15:00:00,2026-02-01 21:58:35.448765,0.29,Y,Y,5,Northeast,2026-02-01
CASE900286,IND100053,1GC698365770932,OnBoarding,BBWC,Phone,2026-02-02 07:00:00,2026-02-02 08:05:52.993438,0.05,Y,Y,3,Northeast,2026-02-01
CASE900287,IND100145,1GC340278096782,Infotainment,App Not Working,Phone,2026-02-22 04:00:00,2026-02-23 05:57:18.132343,1.08,N,Y,5,Midwest,2026-02-01
CASE900288,IND100136,1GC962703291916,Infotainment,App Not Working,Dealer,2026-02-01 02:00:00,2026-02-01 03:46:09.515403,0.07,Y,N,4,West,2026-02-01
CASE900289,IND100000,1GC796560443699,WiFi,No / Slow Internet,Mobile App,2026-02-17 09:00:00,2026-02-18 04:16:53.702240,0.8,Y,Y,4,Midwest,2026-02-01
CASE900290,IND100063,1GC788498971673,Infotainment,App Not Working,Phone,2026-02-07 21:00:00,2026-02-08 09:37:01.919259,0.53,Y,Y,4,Midwest,2026-02-01
CASE900291,IND100023,1GC942439213043,WiFi,No / Slow Internet,Phone,2026-02-13 15:00:00,2026-02-16 11:57:42.623008,2.87,N,Y,5,Midwest,2026-02-01
CASE900292,IND100081,1GC465748175295,OnBoarding,Enroll Vehicle,Phone,2026-02-03 15:00:00,2026-02-04 00:42:44.324183,0.4,Y,N,4,West,2026-02-01
CASE900293,IND100096,1GC425631349497,WiFi,No / Slow Internet,Phone,2026-02-12 03:00:00,2026-02-12 18:41:01.795556,0.65,Y,Y,3,Northeast,2026-02-01
CASE900294,IND100003,1GC598632529184,WiFi,Other,Dealer,2026-02-25 22:00:00,2026-02-26 03:32:45.055484,0.23,Y,Y,5,Southwest,2026-02-01
CASE900295,IND100055,1GC802656127918,OnBoarding,Other,Phone,2026-02-23 08:00:00,2026-02-25 04:45:25.006313,1.86,N,Y,3,Southeast,2026-02-01
CASE900296,IND100016,1GC599126308313,WiFi,Hotspot: SSID and Password,Chat,2026-02-26 15:00:00,2026-02-28 03:29:59.569546,1.52,N,Y,5,Midwest,2026-02-01
CASE900297,IND100098,1GC206205311908,OnBoarding,Enroll Vehicle,Phone,2026-02-21 16:00:00,2026-02-22 02:54:27.464540,0.45,Y,Y,3,Southwest,2026-02-01
CASE900298,IND100051,1GC106626042775,OnBoarding,Other,Phone,2026-02-24 20:00:00,2026-02-25 05:43:00.328338,0.4,Y,N,5,Northeast,2026-02-01
CASE900299,IND100054,1GC734648840762,WiFi,No / Slow Internet,Mobile App,2026-02-08 04:00:00,2026-02-08 22:03:34.017398,0.75,Y,Y,4,Southwest,2026-02-01
CASE900300,IND100011,1GC934088489962,Infotainment,Other,Phone,2026-02-04 19:00:00,2026-02-05 09:08:48.263900,0.59,Y,Y,5,Northeast,2026-02-01
CASE900301,IND100003,1GC727631226152,OnBoarding,Other,Phone,2026-02-07 20:00:00,2026-02-09 12:42:43.718115,1.7,N,Y,3,Southwest,2026-02-01
CASE900302,IND100080,1GC697882186293,OnBoarding,BBWC,Chat,2026-02-26 04:00:00,2026-02-26 06:33:11.722849,0.11,Y,Y,5,Southwest,2026-02-01
CASE900303,IND100102,1GC339282965313,OnBoarding,Other,Dealer,2026-02-16 00:00:00,2026-02-16 10:22:12.265326,0.43,Y,Y,5,West,2026-02-01
CASE900304,IND100026,1GC491587354002,OnBoarding,Other,Chat,2026-02-15 09:00:00,2026-02-17 07:45:19.627229,1.95,N,Y,4,Northeast,2026-02-01
CASE900305,IND100012,1GC679478608071,OnBoarding,Hardware Replacement,Mobile App,2026-02-15 10:00:00,2026-02-17 04:53:23.151981,1.79,N,Y,4,Southeast,2026-02-01
CASE900306,IND100006,1GC353110405454,OnBoarding,Other,Phone,2026-02-07 03:00:00,2026-02-07 07:55:07.591283,0.2,Y,Y,3,Southeast,2026-02-01
CASE900307,IND100079,1GC805508388194,OnBoarding,Other,Mobile App,2026-02-05 14:00:00,2026-02-05 14:28:48.000000,0.02,Y,N,3,Midwest,2026-02-01
CASE900308,IND100042,1GC730238591801,WiFi,No / Slow Internet,Phone,2026-02-12 17:00:00,2026-02-13 13:57:39.637170,0.87,Y,Y,4,Northeast,2026-02-01
CASE900309,IND100032,1GC393242822324,OnBoarding,Enroll Vehicle,Mobile App,2026-02-14 01:00:00,2026-02-14 12:01:30.792677,0.46,Y,N,4,Midwest,2026-02-01
CASE900310,IND100147,1GC568605162223,OnBoarding,Enroll Vehicle,Phone,2026-02-07 18:00:00,2026-02-08 00:42:54.065921,0.28,Y,N,5,West,2026-02-01
CASE900311,IND100104,1GC800875813568,OnBoarding,Enroll Vehicle,Dealer,2026-02-06 08:00:00,2026-02-07 05:07:04.970592,0.88,Y,N,4,Southeast,2026-02-01
CASE900312,IND100133,1GC412182824081,OnBoarding,Hardware Replacement,Phone,2026-02-12 12:00:00,2026-02-13 03:33:05.065071,0.65,Y,Y,4,West,2026-02-01
